"","ID","ID2","stream","pool","size","gDMperL","gDMperLavg","perC","perN","perP","del13C","del15N","perAsh","notes","UE_N","R2_N","Pval_N","ConGeoMean_N","mgDML_N","ugU_mgDM_h_N","UE_P","R2_P","Pval_P","ConGeoMean_P","mgDML_P","ugU_mgDM_h_P","gDMperL_uptake","NPuptake","R_mgDOmgDMh_N","R_mgDOmgDMh_mean","R_mgDOmgDMh_sd","gDMperL_R","TempC_mean","mgCgDM_N","mgNgDM_N","micCN_N","mgCgDM_mean","mgNgDM_mean","micCN_mean","mgCgDM_sd","mgNgDM_sd","micCN_sd","date","totVolM2","AreaM2","numPerG","totVolM3_MKLY","gDMbucketS","gDMbucketA","gDMm2S","gDMm2A","gAFDMm2","gCm2","gNm2","gPm2","ugU_m2_h_N","ugU_m2_h_P","R_mgDOm2perH","WA","siteName","CN","CP","NP","perOM","perCafdm","perNafdm","perPafdm","CNafdm","CPafdm","NPafdm","ugU_mgAFDM_h_N","ugU_mgAFDM_h_P","R_mgDOmgAFDMh_mean","numPerGafdm","mgCgAFDM","mgNgAFDM","BacPerM2"
"1","Elder 1 B","Elder 1","Elder","1","B",0.514177733333333,"1.54540693333333",15.5433992906474,0.959785960526358,0.141346208037825,-28.0656202746048,-0.331719268993,68.5505002752199,NA,-4.60667854462577e-05,0.943185081390785,0.00584860594387183,44.6025384072272,2053.75,0.0036016574762221,-2.28528641314614e-05,0.931487570555951,0.00777346558273343,48.3799193260718,2053.75,0.00193803092050114,2.05375,4.11505235184108,2,4.15510443603164e-05,1.81435947837263e-06,1.404365,17.725,2,2,2,4.31641859361124,0.875472326600321,5.76489088006633,0.503380945483537,0.128332905894382,0.174245860705292,"2008-08-11",0.0100347919907228,0.0963377594634117,44984915.2999789,0.0100347919907228,5.15966660026133,5.15966660026133,53.5580921644844,53.5580921644844,16.843752047867,832.474811757875,51.4043049320489,7.57023323719022,192.897903056408,103.797238657821,2.22539466338041,16.9,"Elder",18.8937602599894,284.081066328244,15.0357082136705,31.4494997247801,49.4233594386884,3.05183220377306,0.44943865331649,18.8937602599894,284.081066328244,15.0357082136705,0.0114521932232335,0.00616235850319139,0.000132119889740494,143038571.976183,13.7249197328573,2.78374007301142,2409306239.64779
"2","Elder 2 B","Elder 2","Elder","2","B",0.421235,"0.739055",14.200077341761,0.89682904007536,0.12537092109375,-27.0512364471552,-0.7595160173915,68.9652831019708,NA,-6.99483334730726e-05,0.809391299313145,0.100338230603776,28.2714916659918,543.000000000001,0.0131107871392308,-1.72736278310076e-05,0.96132931327869,0.00326570428011622,53.619295643465,543.000000000001,0.00614055087849268,0.543000000000001,4.727756391877,2,1.79457959450605e-05,1.88313584014073e-06,0.891165,17.725,2,2,2,2.41264360003475,0.417824126085036,6.74332566410007,0.0907328012115649,0.012282615629992,0.451579026119777,"2008-08-11",0.0132043712416438,0.0963377594634117,68009769.2323305,0.0132043712416438,5.56214331997383,5.56214331997383,57.7358592410101,57.7358592410101,17.9181604640921,819.85366661537,51.7791952210412,7.23839785318453,756.962560809475,354.529981182914,1.0361159486519,16.9,"Elder",18.4725919416359,292.600012928447,15.83968367043,31.0347168980292,45.7554595661955,2.88976066068871,0.403969920220898,18.4725919416359,292.600012928447,15.83968367043,0.0422455509496314,0.0197860702215158,5.78249062300939e-05,219140936.441567,7.77401517133852,1.3463120268114,3926602463.41141
"3","Elder 3 B","Elder 3","Elder","3","B",0.476270311111111,"0.436473827777778",13.6224497819503,1.11588479489354,0.157544037978628,-26.2529374142482,-0.4006486634815,69.216231456228,NA,-3.7987318538375e-05,0.0522580236662815,0.71149257551645,43.846194496051,358.749999999998,0.0167140283909725,-6.3957064359025e-06,0.675450998307741,0.0878057693098881,56.9439169532553,358.749999999998,0.00365465553760659,0.358749999999998,10.1267093200618,2,5.36764223117199e-05,1.25016970685135e-05,0.44922,17.875,2,2,2,4.36358710518561,0.977706120201193,5.24232893709643,1.95102624011803,0.462127485691974,0.149765873105942,"2008-08-11",0.023166674958186,0.0963377594634117,62476185.8891653,0.023166674958186,11.0335994897452,11.0335994897452,114.530372630637,114.530372630637,35.2567648229349,1560.18424966891,127.802701372019,18.0435773754275,1914.26389977713,418.569060558704,6.14758064884073,16.9,"Elder",14.2423825037048,223.374550093388,15.6837909693327,30.783768543772,44.2520536840065,3.62491289299698,0.511776320545723,14.2423825037048,223.374550093388,15.6837909693327,0.0542949391241898,0.0118720212322607,0.000174365988476675,202951713.986315,14.174960739394,3.17604428064412,7155420850.42706
"4","Elder 4 B","Elder 4","Elder","4","B",0.873981333333333,"0.453551583333334",NA,NA,0.142864412195698,NA,NA,69.325380931042,NA,-3.37664387918476e-05,0.697886047282182,0.164604257083996,29.2382239259985,259.500000000003,0.0136962409051498,-6.28328611213984e-06,0.772805965332578,0.12090616807273,57.1787221085596,259.500000000003,0.00498409623863046,0.259500000000003,6.08483245982071,2,1.88569370829828e-05,1.9609235418655e-06,0.273835,17.9,2,2,2,5.14536284966465,0.997567548626366,6.01986453465185,0.231316121272083,0.0131393472944368,0.349816811320234,"2008-08-11",0.0208932760023221,0.0963377594634117,35100924.7569965,0.0208932760023221,18.2603332182108,18.2603332182108,189.544923194378,189.544923194378,58.1421831544243,NA,NA,27.0792240368435,2596.05293041831,944.710138744597,3.57423669107519,16.9,"Elder",NA,NA,NA,30.674619068958,NA,NA,0.465741438791895,NA,NA,NA,0.0446500765807719,0.0162482742733528,6.14740709268191e-05,114429863.588813,16.774007325397,3.25209433370236,6653202087.11653
"5","Elder 5 B","Elder 5","Elder","5","B",1.31769666666667,"0.898004166666667",12.9576562077167,0.996140205950635,0.1456214753,NA,NA,68.4012113520458,NA,-1.95617234496614e-05,0.258964870644496,0.660115007707489,21.0932776011996,650,0.00228528478014427,-1.41617088922197e-05,0.942868310640767,0.00589817364570237,48.1511726598051,650,0.00377669292938124,0.65,1.33986891080846,2,4.45963880420034e-05,3.68628531763213e-05,0.294165,17.925,2,2,2,6.63958731491325,1.16462213559699,7.17182815793218,2.4328627573457,0.683745604385122,1.77342163753643,"2008-08-11",0.0266415556091284,0.0963377594634117,18618577.3080117,0.0266415556091284,35.1054890209632,35.1054890209632,364.400098325891,364.400098325891,115.146016902935,4721.77119616505,362.993588994784,53.0644799176812,832.757998587233,1376.22727481322,16.2509281874856,16.9,"Elder",15.1758411972166,229.869565146949,15.1470723869402,31.5987886479542,41.0068131157794,3.15246327018656,0.46084511948349,15.1758411972166,229.869565146949,15.1470723869402,0.00723219109949086,0.0119520180708755,0.000141133220449863,58921807.1472405,21.0121577408731,3.6856543729324,6784611401.72766
"6","Elder 6 B","Elder 6","Elder","6","B",1.268657,"0.870499875",15.2472041667665,0.960638169637851,0.13303998363786,-27.6283441378688,-0.646395909877,68.421610511071,NA,-0.000106975006562976,0.510233217281152,0.285693891051496,20.5861815733414,940.875,0.00842614042470396,-3.51365791505092e-05,0.973233224531321,0.00187372953447248,41.1143493586546,940.875,0.00552743278933269,0.940875,3.37550596815847,2,5.26279208226461e-05,2.5514683134667e-07,0.89356,17.8975,2,2,2,4.36290976637277,0.734876099477401,6.93038226064899,0.165746888131906,0.0424457839474626,0.137158003496493,"2008-08-11",0.0254745811099972,0.0963377594634117,28390997.7586154,0.0254745811099972,32.3185056472657,32.3185056472657,335.470804254484,335.470804254484,105.936277189123,5114.99184445747,322.266059365965,44.6310303089962,2826.72410503665,1854.29232330004,17.6551309246144,16.9,"Elder",18.5172788500936,296.065962179942,15.9886322702564,31.578389488929,48.2836661828874,3.04207461236945,0.421300724295969,18.5172788500936,296.065962179942,15.9886322702564,0.0266832494027539,0.0175038463923898,0.000166658026816399,89906414.5388698,13.8161250050524,2.3271487601831,9524350851.66995
"7","Elder 7 B","Elder 7","Elder","7","B",0.49861035,"0.3592563375",13.9190314797794,0.960047104779412,0.1280136698017,NA,NA,69.3146709950104,NA,2.52848236501259e-05,0.299194812611262,0.340037808980087,40.399446092363,269.999999999993,-0.0136199049334426,-7.32008099477473e-06,0.872876861814258,0.0200246004846499,52.9328443305112,269.999999999993,0.00516630277044205,0.269999999999993,NA,2,7.10801490618222e-05,2.63719657419166e-05,0.297695,18.075,2,2,2,3.9363655927016,0.636765660522516,7.23352239991896,0.425099340698061,0.0940749411069162,0.289814565066369,"2008-08-11",0.0186541243232199,0.0963377594634117,46636115.3615001,0.0186541243232199,9.30113945774419,9.30113945774419,96.5471847129337,96.5471847129337,29.6258212742187,1343.8433033034,92.6898451582551,12.3593594241252,-1314.96347738168,498.79198786081,6.86258828089461,16.9,"Elder",16.9146596858639,280.887955521705,16.6061842649103,30.6853290049896,45.3605417674228,3.12868441014044,0.417182001799245,16.9146596858639,280.887955521705,16.6061842649103,-0.0443857223470797,0.016836393605563,0.000231642127905046,151981800.012367,12.8281681192388,2.07514692255369,4502585644.10044
"8","Elder 8 B","Elder 8","Elder","8","B",0.399592083333333,"0.316654270833334",12.8590919876612,1.08439452661552,0.1530698282678,NA,NA,69.9749373433592,NA,-0.00010633833323787,0.934951493936145,0.0330711019231325,34.9544172192296,221.625,0.060377575088633,2.13093739812235e-06,0.248732051135448,0.501269560648806,56.0323863269445,221.625,-0.00193951687358579,0.221625,NA,2,0.000126789285343261,6.60944805513681e-05,0.199515,18.25,2,2,2,19.9027603807449,4.62607982610586,4.98567733401873,15.3448006504321,3.50835745500366,0.088785580425764,"2008-08-11",0.023166674958186,0.0963377594634117,49068404.9803264,0.023166674958186,9.2572199104477,9.2572199104477,96.091293403637,96.091293403637,28.8514710520185,1235.64678109071,104.20087262231,14.7086777793255,5801.75928284196,-186.370684961037,12.1833464183567,16.9,"Elder",13.834700948213,217.020697965419,15.6866923815546,30.0250626566408,42.8278606266858,3.61163118630721,0.509806857085591,13.834700948213,217.020697965419,15.6866923815546,0.20109058814996,-0.00645965970417989,0.00042227817071755,163424821.261692,66.2871568607465,15.4073944124899,4715046499.81303
"9","Fox 1 B","Fox 1","Fox","1","B",0.76532,"0.6324925",19.9148917901362,1.12140449171622,0.161231983906465,-27.4622470370888,0.831625269275,57.3055621998551,NA,-2.17410962086394e-05,0.779588587587104,0.0472229177680195,46.5210915184133,537.93,0.00676874369371084,-2.77890733290265e-06,0.598749080723332,0.12467813554256,40.4433832881023,537.93,0.000752139296548102,0.53793,19.9270700699081,2,0.00024019912892944,4.43594536896374e-05,0.48388,17.675,2,2,2,2.96832989714701,0.566332020193527,6.12717984778581,0.669549546024847,0.136895334670575,0.101779868990559,"2008-08-13",0.0121395537546311,0.0963377594634117,41712494.6145606,0.0121395537546311,9.29064327949427,9.29064327949427,96.4382328511884,96.4382328511884,41.1737613402095,1920.55697166337,108.146267492497,15.5489276070307,652.765680444099,72.5349846170349,23.16437952635,2.6,"Fox",20.7186974846763,319.085596695448,15.40085214968,42.6944378001449,46.6451669497534,2.62658217205149,0.377641660633175,20.7186974846763,319.085596695448,15.40085214968,0.0158539239359368,0.00176167982365504,0.000562600519659788,97700067.6524169,6.95249791329243,1.32647728691161,4022679268.44294
"10","Fox 2 B","Fox 2","Fox","2","B",1.12826,"0.5659",20.916473238164,1.0034050048098,0.149460433653846,-27.5728469851192,0.738707824972,55.6072473156302,"removedPerCwas2high7.7",-1.00780307888998e-05,0.39757304541812,0.254112580265762,45.4101343861646,307.389999999999,0.00535970928429241,-7.50307599633451e-06,0.968661801985805,0.0157938214043741,41.4070845762023,307.389999999999,0.00363853673998123,0.307389999999999,3.26173089597397,2,0.000259139809155624,1.35247881534865e-05,0.40662,17.725,2,2,2,1.85721590912544,0.274193976120283,7.9121241443835,0.873343571765854,0.00143971432338519,3.75752978516907,"2008-08-13",0.00796297790764955,0.0963377594634117,34029051.0690935,0.00796297790764955,8.98430945408468,8.98430945408468,93.2584430458635,93.2584430458635,41.3999899786441,1950.63772820165,93.5759884929892,13.9384473395173,499.83814303157,339.324271335822,24.1669751330557,2.6,"Fox",24.3197432683894,361.528608013197,14.8656424545036,44.3927526843698,47.1168647433942,2.2602901242551,0.33667755346577,24.3197432683894,361.528608013197,14.8656424545036,0.0120733880198862,0.00819624042205952,0.000583743502003795,76654519.0631415,4.18360159445428,0.617654818726354,3173496321.03184
